stable_ref,paragraph_id,decision_id,action,start,end,suppressed_token
LDC.T13.E0005.P020,LDC.T13.E0005.P020,LEAD-00141,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P021,LDC.T13.E0005.P021,LEAD-00142,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P023,LDC.T13.E0005.P023,LEAD-00143,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P024,LDC.T13.E0005.P024,LEAD-00144,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P025,LDC.T13.E0005.P025,LEAD-00145,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0005.P026,LDC.T13.E0005.P026,LEAD-00146,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P003,LDC.T13.E0006.P003,LEAD-00147,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P008,LDC.T13.E0006.P008,LEAD-00148,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P010,LDC.T13.E0006.P010,LEAD-00149,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P012,LDC.T13.E0006.P012,LEAD-00150,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P014,LDC.T13.E0006.P014,LEAD-00151,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P015,LDC.T13.E0006.P015,LEAD-00152,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P016,LDC.T13.E0006.P016,LEAD-00153,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P017,LDC.T13.E0006.P017,LEAD-00154,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006.P018,LDC.T13.E0006.P018,LEAD-00155,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0006A.P008,LDC.T13.E0006A.P008,LEAD-00156,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0008.P011,LDC.T13.E0008.P011,LEAD-00158,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0008.P013,LDC.T13.E0008.P013,LEAD-00159,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P006,LDC.T13.E0009.P006,LEAD-00160,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P008,LDC.T13.E0009.P008,LEAD-00161,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P010,LDC.T13.E0009.P010,LEAD-00162,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P011,LDC.T13.E0009.P011,LEAD-00163,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P014,LDC.T13.E0009.P014,LEAD-00164,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P015,LDC.T13.E0009.P015,LEAD-00165,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P017,LDC.T13.E0009.P017,LEAD-00166,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P018,LDC.T13.E0009.P018,LEAD-00167,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P020,LDC.T13.E0009.P020,LEAD-00168,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0009.P026,LDC.T13.E0009.P026,LEAD-00169,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P003,LDC.T13.E0010.P003,LEAD-00170,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P011,LDC.T13.E0010.P011,LEAD-00171,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P013,LDC.T13.E0010.P013,LEAD-00172,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P014,LDC.T13.E0010.P014,LEAD-00173,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P017,LDC.T13.E0010.P017,LEAD-00174,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P019,LDC.T13.E0010.P019,LEAD-00175,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P020,LDC.T13.E0010.P020,LEAD-00176,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P021,LDC.T13.E0010.P021,LEAD-00177,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010.P023,LDC.T13.E0010.P023,LEAD-00178,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P003,LDC.T13.E0010A.P003,LEAD-00179,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P004,LDC.T13.E0010A.P004,LEAD-00180,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P005,LDC.T13.E0010A.P005,LEAD-00181,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P007,LDC.T13.E0010A.P007,LEAD-00182,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P008,LDC.T13.E0010A.P008,LEAD-00183,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P009,LDC.T13.E0010A.P009,LEAD-00184,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P011,LDC.T13.E0010A.P011,LEAD-00185,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P012,LDC.T13.E0010A.P012,LEAD-00186,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P013,LDC.T13.E0010A.P013,LEAD-00187,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P015,LDC.T13.E0010A.P015,LEAD-00188,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P016,LDC.T13.E0010A.P016,LEAD-00189,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P018,LDC.T13.E0010A.P018,LEAD-00190,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P019,LDC.T13.E0010A.P019,LEAD-00191,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P021,LDC.T13.E0010A.P021,LEAD-00192,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P022,LDC.T13.E0010A.P022,LEAD-00193,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0010A.P023,LDC.T13.E0010A.P023,LEAD-00194,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0011.P003,LDC.T13.E0011.P003,LEAD-00195,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0011.P007,LDC.T13.E0011.P007,LEAD-00196,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0011.P009,LDC.T13.E0011.P009,LEAD-00197,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0011.P011,LDC.T13.E0011.P011,LEAD-00198,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T13.E0011.P014,LDC.T13.E0011.P014,LEAD-00199,SUPPRESS_LAYOUT_MARKER,0,2,'- '
