flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T22.P134-P138..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P136,LDC.T22.E0025.P136,20,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P134-P138..E0025,LDC.T22.E0025,inherited_dash_continuation,3,LDC.T22.E0025.P137,LDC.T22.E0025.P137,24,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P134-P138..E0025,LDC.T22.E0025,inherited_dash_continuation,4,LDC.T22.E0025.P138,LDC.T22.E0025.P138,16,,,[]
FLOW.T22.P139-P143..E0025,LDC.T22.E0025,inherited_dash_continuation+sentence_continuation,0,LDC.T22.E0025.P139,LDC.T22.E0025.P139,42,space,continue_same_speaker_only,[]
FLOW.T22.P139-P143..E0025,LDC.T22.E0025,inherited_dash_continuation+sentence_continuation,1,LDC.T22.E0025.P140,LDC.T22.E0025.P140,4,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P139-P143..E0025,LDC.T22.E0025,inherited_dash_continuation+sentence_continuation,2,LDC.T22.E0025.P141,LDC.T22.E0025.P141,24,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P139-P143..E0025,LDC.T22.E0025,inherited_dash_continuation+sentence_continuation,3,LDC.T22.E0025.P142,LDC.T22.E0025.P142,23,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P139-P143..E0025,LDC.T22.E0025,inherited_dash_continuation+sentence_continuation,4,LDC.T22.E0025.P143,LDC.T22.E0025.P143,20,,,[]
FLOW.T22.P005-P008..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P005,LDC.T22.E0026.P005,41,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P005-P008..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P006,LDC.T22.E0026.P006,88,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P005-P008..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P007,LDC.T22.E0026.P007,34,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P005-P008..E0026,LDC.T22.E0026,inherited_dash_continuation,3,LDC.T22.E0026.P008,LDC.T22.E0026.P008,65,,,[]
FLOW.T22.P014-P015..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P014,LDC.T22.E0026.P014,93,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P014-P015..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P015,LDC.T22.E0026.P015,121,,,[]
FLOW.T22.P017-P018..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P017,LDC.T22.E0026.P017,48,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P017-P018..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P018,LDC.T22.E0026.P018,116,,,[]
FLOW.T22.P022-P024..E0026,LDC.T22.E0026,inherited_dash_continuation+sentence_continuation,0,LDC.T22.E0026.P022,LDC.T22.E0026.P022,191,space,terminate_run_at_boundary,[]
FLOW.T22.P022-P024..E0026,LDC.T22.E0026,inherited_dash_continuation+sentence_continuation,1,LDC.T22.E0026.P023,LDC.T22.E0026.P023,17,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P022-P024..E0026,LDC.T22.E0026,inherited_dash_continuation+sentence_continuation,2,LDC.T22.E0026.P024,LDC.T22.E0026.P024,60,,,[]
FLOW.T22.P025-P027..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P025,LDC.T22.E0026.P025,100,space,terminate_run_at_boundary,"[[0, 2]]"
FLOW.T22.P025-P027..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P026,LDC.T22.E0026.P026,89,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P025-P027..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P027,LDC.T22.E0026.P027,91,,,[]
FLOW.T22.P028-P032..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P028,LDC.T22.E0026.P028,75,space,continue_same_speaker_only,"[[0, 2]]"
